ID,NAME,SURNAME,SENIORITY,TRANSPORT,TIME_MINUTES
49,Michał,Fogiel,2,Rower,25
50,Sebastian,Brojek,1,Pieszo,68
51,Dawid,Hyży,1,Pieszo,69
52,Apolonia,Forma,2,Pieszo,27
53,Borys,Lament,4,Hulajnoga,4
54,Ksawery,Mycek,1,Skuter,69
55,Marcel,Knych,1,Hulajnoga,25
56,Cyprian,Mirocha,2,Hulajnoga,86
57,Ewelina,Latek,3,Rower,51
58,Leon,Knieć,2,Hulajnoga,43
59,Justyna,Gryka,3,Rower,19
60,Karina,Grygorcewicz,2,Hulajnoga,28
61,Stefan,Wyroślak,4,Pieszo,14
62,Jacek,Naumiuk,2,Hulajnoga,34
63,Arkadiusz,Nieborak,4,Rower,80
64,Jerzy,Jędruszczak,4,Pieszo,26
65,Hubert,Sykut,3,Pieszo,3
66,Blanka,Perka,4,Pieszo,51
67,Ksawery,Maciocha,3,Samochód,21
68,Olgierd,Sztuba,1,Pieszo,65
69,Kacper,Pupek,4,Pieszo,27
70,Malwina,Cąkała,1,Pieszo,75
71,Kaja,Domurad,3,Pieszo,41
72,Anita,Kalka,3,Pieszo,31
73,Gustaw,Kus,4,Rower,40
74,Sara,Bik,2,Samochód,2
75,Roksana,Szelest,2,Skuter,16
76,Antoni,Szarzec,2,Skuter,12
77,Fryderyk,Jędrusiak,2,Pieszo,55
78,Bartek,Karmelita,4,Samochód,81
79,Alan,Thomas,2,Hulajnoga,2
80,Lidia,Bors,2,Hulajnoga,51
81,Stefan,Walo,2,Skuter,31
82,Sonia,Kurpanik,2,Hulajnoga,87
83,Ewelina,Bancerz,1,Hulajnoga,19
84,Konstanty,Ernst,1,Rower,65
85,Dominik,Lewicz,4,Rower,77
86,Kacper,Gabryszak,1,Pieszo,35
87,Jędrzej,Letkiewicz,4,Rower,63
88,Łukasz,Omiotek,3,Pieszo,36
89,Tomasz,Karkocha,2,Rower,48
90,Natan,Kasznia,4,Hulajnoga,41
91,Jacek,Kostro,3,Samochód,64
92,Mikołaj,Poleszak,4,Hulajnoga,23
93,Jerzy,Łęgowik,4,Rower,65
94,Ada,Ziemann,3,Skuter,46
95,Marek,Bugno,4,Pieszo,74
96,Leon,Hanas,4,Rower,22
97,Tobiasz,Korpal,1,Rower,48
98,Stefan,Neugebauer,4,Samochód,82
99,Ryszard,Kala,2,Rower,65
100,Wojciech,Karpiak,4,Pieszo,0
101,Wojciech,Rosłoń,4,Rower,79
102,Dariusz,Krzywoń,1,Hulajnoga,87
103,Aleksander,Waraksa,3,Samochód,82
104,Sylwia,Sierota,2,Rower,83
105,Kornel,Śliz,1,Samochód,41
106,Inga,Kapuścik,2,Samochód,45
107,Leonard,Siedlarz,1,Hulajnoga,32
108,Ewa,Fik,1,Rower,28
109,Sara,Dworczak,3,Samochód,52
110,Maurycy,Marcol,1,Pieszo,11
111,Justyna,Bender,1,Skuter,64
112,Ksawery,Ernst,1,Pieszo,11
113,Robert,Kurach,2,Pieszo,88
114,Maciej,Kowala,4,Pieszo,55
115,Fabian,Jędruch,2,Skuter,7
116,Tola,Roś,1,Rower,36
117,Miłosz,Słupik,4,Hulajnoga,14
118,Stefan,Kałwa,3,Skuter,10
119,Marcel,Kretowicz,1,Samochód,61
120,Iwo,Szafarz,1,Hulajnoga,53
121,Filip,Biesaga,2,Skuter,69
122,Błażej,Deluga,1,Pieszo,78
123,Ida,Jagieło,4,Rower,36
124,Jerzy,Jagiełka,1,Pieszo,8
125,Radosław,Glenc,1,Pieszo,29
126,Marcelina,Parus,1,Skuter,7
127,Marcin,Mętel,4,Hulajnoga,0
128,Wojciech,Wierzchoń,1,Pieszo,1
129,Dawid,Michnik,4,Pieszo,48
130,Damian,Dyś,4,Samochód,82
131,Mieszko,Podsiadła,1,Samochód,84
132,Bianka,Warzybok,3,Rower,59
133,Leon,Olas,3,Skuter,40
134,Kamil,Dyjas,2,Skuter,63
135,Adrian,Gierach,3,Hulajnoga,44
136,Eliza,Szela,4,Pieszo,77
137,Janina,Dyja,3,Pieszo,1
138,Eryk,Duszkiewicz,4,Rower,47
139,Natan,Bilewicz,3,Samochód,83
140,Ksawery,Golon,3,Pieszo,29
141,Blanka,Kurczak,4,Skuter,66
142,Ryszard,Glazer,3,Rower,56
143,Gustaw,Szalast,1,Pieszo,49
144,Stanisław,Trzyna,4,Rower,0
145,Dorota,Dadej,1,Samochód,9
146,Natan,Janowiak,2,Skuter,17
147,Kaja,Wiech,2,Rower,7
148,Karina,Pawela,1,Rower,39
149,Ernest,Koziatek,2,Skuter,81
150,Bartek,Młyńczyk,3,Samochód,11
151,Adam,Polaszek,2,Skuter,12
152,Kamila,Czerniec,2,Skuter,73
153,Anna Maria,Musiolik,3,Rower,79
154,Liwia,Skierka,3,Hulajnoga,48
155,Józef,Szczesiak,4,Skuter,40
156,Julita,Siwka,1,Rower,21
157,Olga,Kapałka,2,Samochód,8
158,Nicole,Myrcik,4,Skuter,0
159,Jerzy,Mielke,4,Skuter,86
160,Kamila,Snoch,4,Rower,17
161,Mieszko,Sędek,4,Rower,62
162,Ida,Kuza,4,Skuter,86
163,Maksymilian,Bryzek,4,Hulajnoga,0
164,Nikodem,Gosik,4,Rower,15
165,Ada,Koźlak,1,Skuter,68
166,Leon,Rode,3,Pieszo,43
167,Grzegorz,Goworek,3,Rower,47
168,Stanisław,Darłak,3,Samochód,46
169,Patryk,Skrzecz,1,Skuter,57
170,Roksana,Bakiera,4,Rower,39
171,Nataniel,Piguła,1,Samochód,55
172,Mateusz,Piechura,1,Hulajnoga,55
173,Roksana,Wisła,2,Rower,33
174,Jędrzej,Parkitna,2,Hulajnoga,77
175,Kacper,Szatanik,2,Skuter,18
176,Ignacy,Ulewicz,1,Hulajnoga,3
177,Aleks,Grzenia,3,Rower,18
178,Aleksander,Wołkowicz,4,Pieszo,34
179,Tomasz,Pakosz,3,Skuter,85
180,Janina,Rej,3,Pieszo,14
181,Fabian,Ziemkiewicz,2,Pieszo,22
182,Alan,Indyk,3,Skuter,66
183,Marianna,Bałdys,4,Rower,81
184,Konrad,Kozok,4,Hulajnoga,15
185,Tymon,Dębniak,1,Hulajnoga,46
186,Malwina,Narożny,4,Skuter,62
187,Borys,Fijak,4,Rower,49
188,Lidia,Bulczak,2,Samochód,48
189,Melania,Buk,1,Samochód,58
190,Olga,Samol,4,Pieszo,66
191,Justyna,Fiedler,2,Hulajnoga,50
192,Melania,Żynda,3,Samochód,28
193,Agnieszka,Wicha,3,Hulajnoga,16
194,Stanisław,Matynia,4,Pieszo,60
195,Kornelia,Sadura,2,Skuter,66
196,Aleks,Mosiołek,2,Pieszo,48
197,Liwia,Kaja,3,Samochód,64
198,Sebastian,Klemczak,2,Pieszo,70
199,Krystyna,Świerkosz,2,Skuter,82
200,Tobiasz,Dorynek,3,Samochód,53
201,Mateusz,Gębura,2,Pieszo,22
202,Alan,Strzelczak,3,Pieszo,41
203,Rafał,Bilewicz,1,Rower,35
204,Łukasz,Elert,1,Samochód,79
205,Aleksander,Serzysko,4,Samochód,74
206,Urszula,Dynak,2,Samochód,90
207,Filip,Bugno,1,Hulajnoga,44
208,Kornelia,Siemion,1,Pieszo,7
209,Kazimierz,Obst,2,Rower,76
210,Hubert,Pietryga,3,Pieszo,29
211,Krystyna,Bazylewicz,1,Hulajnoga,58
212,Urszula,Chojak,1,Pieszo,0
213,Adrian,Capiga,4,Samochód,25
214,Konrad,Bieleń,4,Rower,72
215,Łukasz,Trzepizur,4,Skuter,81
216,Ewelina,Gwardiak,4,Pieszo,67
217,Gaja,Przerwa,2,Skuter,11
218,Adam,Miozga,4,Hulajnoga,4
219,Józef,Dybiec,1,Pieszo,12
220,Kornelia,Gietka,4,Rower,69
221,Gabriel,Szemraj,4,Hulajnoga,77
222,Elżbieta,Trzyna,3,Rower,51
223,Maciej,Korniak,3,Skuter,6
224,Rozalia,Szalast,3,Rower,88
225,Gaja,Rząca,3,Samochód,22
226,Robert,Leks,4,Samochód,53
227,Konrad,Jakubiuk,3,Pieszo,3
228,Tymoteusz,Jędruch,4,Pieszo,84
229,Cezary,Pyszny,2,Rower,18
230,Ida,Durczok,4,Pieszo,49
231,Karina,Mikołajewicz,4,Skuter,22
232,Błażej,Jędrzejek,1,Hulajnoga,39
233,Maks,Albin,2,Pieszo,65
234,Dominik,Sornat,3,Skuter,48
235,Damian,Tusk,4,Skuter,88
236,Witold,Romańczyk,3,Samochód,14
237,Natan,Grubba,1,Rower,32
238,Maksymilian,Rajman,3,Rower,77
239,Mieszko,Zięciak,2,Rower,66
240,Łukasz,Kral,3,Rower,73
241,Cyprian,Dukat,2,Samochód,55
242,Aniela,Ważna,4,Rower,39
243,Szymon,Witas,4,Samochód,30
244,Kalina,Sutor,4,Samochód,8
245,Dominik,Grochowina,1,Samochód,30
246,Borys,Domoń,1,Hulajnoga,37
247,Dominik,Woźniczko,1,Hulajnoga,83
248,Błażej,Pela,2,Hulajnoga,79
249,Marcelina,Kaletka,3,Hulajnoga,39
250,Eliza,Bittner,3,Samochód,8
251,Elżbieta,Kujda,2,Skuter,0
252,Kalina,Trznadel,4,Skuter,83
253,Dominik,Polnik,4,Pieszo,78
254,Mariusz,Miętka,3,Hulajnoga,20
255,Miłosz,Madura,4,Pieszo,13
256,Gaja,Koral,1,Samochód,30
257,Dariusz,Hołubowicz,4,Pieszo,12
258,Jeremi,Grzywnowicz,4,Pieszo,90
259,Anna Maria,Mszyca,2,Rower,17
260,Paweł,Kunka,4,Samochód,52
261,Sandra,Wołkowicz,2,Rower,17
262,Adrianna,Drewicz,3,Rower,49
263,Bianka,Kuszyk,1,Skuter,89
264,Dawid,Lato,4,Skuter,83
265,Mieszko,Kowala,1,Skuter,54
266,Mateusz,Zyzik,4,Pieszo,86
267,Róża,Żbik,1,Skuter,3
268,Juliusz,Sado,2,Rower,17
269,Rafał,Nitkiewicz,4,Skuter,52
270,Ida,Podsiedlik,1,Samochód,44
271,Marcelina,Janisz,1,Hulajnoga,21
272,Gabriel,Gabryel,2,Skuter,65
273,Tola,Kośnik,3,Pieszo,38
274,Piotr,Zander,4,Skuter,74
275,Franciszek,Zięciak,1,Rower,8
276,Daniel,Kultys,2,Skuter,16
277,Stanisław,Fidler,3,Samochód,40
278,Elżbieta,Łuc,1,Skuter,41
279,Malwina,Tondera,4,Hulajnoga,54
280,Krystian,Klatka,1,Rower,81
281,Dagmara,Borzym,2,Hulajnoga,8
282,Wiktor,Serwach,2,Skuter,77
283,Nataniel,Fronia,1,Skuter,44
284,Sonia,Pogorzelec,1,Hulajnoga,42
285,Franciszek,Eckert,3,Pieszo,70
286,Anita,Fiutak,3,Samochód,47
287,Bianka,Nałęcz,4,Hulajnoga,29
288,Eliza,Oskroba,2,Hulajnoga,83
289,Alex,Sobisz,1,Skuter,38
290,Dawid,Wojtoń,1,Rower,37
291,Przemysław,Senator,3,Rower,3
292,Borys,Frost,1,Hulajnoga,19
293,Nataniel,Falba,1,Pieszo,84
294,Łukasz,Cierpisz,3,Pieszo,2
295,Alex,Dykas,1,Rower,58
296,Oliwier,Baumgart,1,Rower,4
297,Liwia,Kultys,4,Skuter,20
298,Łukasz,Płócienniczak,2,Pieszo,89
299,Artur,Gronostaj,2,Pieszo,79
300,Ida,Kaluga,3,Skuter,13
301,Apolonia,Dargacz,1,Skuter,10
302,Ernest,Jarkiewicz,3,Hulajnoga,0
303,Justyna,Piesik,2,Hulajnoga,33
304,Natan,Chaber,4,Rower,33
305,Fryderyk,Kopyść,1,Hulajnoga,28
306,Radosław,Ochab,3,Pieszo,14
307,Konrad,Bobel,1,Rower,73
308,Dariusz,Cymer,1,Samochód,10
309,Maks,Langier,1,Hulajnoga,23
310,Kaja,Bryda,3,Rower,74
311,Cezary,Stefanik,2,Samochód,27
312,Norbert,Surmiak,4,Rower,53
313,Marcel,Klatka,2,Rower,75
314,Norbert,Guźniczak,3,Rower,90
315,Klara,Herbut,2,Pieszo,78
316,Dagmara,Rode,4,Skuter,73
317,Inga,Rybus,1,Samochód,27
318,Urszula,Pagacz,4,Skuter,32
319,Olga,Zadworny,4,Skuter,50
320,Iwo,Sowała,3,Samochód,75
321,Sebastian,Pajda,1,Hulajnoga,51
322,Oskar,Grymuza,2,Rower,53
323,Alex,Buczma,1,Rower,59
324,Blanka,Mokwa,1,Skuter,39
325,Józef,Imiołczyk,4,Samochód,29
326,Sara,Wita,4,Pieszo,7
327,Filip,Dadej,1,Hulajnoga,32
328,Angelika,Labudda,3,Pieszo,46
329,Blanka,Jeszka,4,Hulajnoga,44
330,Witold,Kozaczuk,3,Rower,43
331,Sandra,Domian,2,Samochód,57
332,Olaf,Jonik,2,Skuter,53
333,Dagmara,Markiel,2,Skuter,70
334,Juliusz,Falba,3,Pieszo,52
335,Franciszek,Mizia,2,Rower,22
336,Tomasz,Słobodzian,4,Samochód,39
337,Patryk,Roch,2,Rower,79
338,Witold,Zaborek,2,Rower,33
339,Sonia,Mycek,4,Hulajnoga,83
340,Nataniel,Olma,4,Rower,39
341,Leonard,Osica,2,Samochód,5
342,Alex,Parzyszek,4,Hulajnoga,33
343,Patryk,Sędek,3,Samochód,68
344,Tomasz,Fydrych,2,Samochód,1
345,Apolonia,Ciuba,3,Rower,86
346,Olaf,Bernatek,3,Rower,34
347,Tobiasz,Nitkiewicz,1,Skuter,16
348,Tomasz,Mirocha,1,Samochód,5
349,Malwina,Gabara,4,Hulajnoga,78
350,Albert,Kobos,2,Hulajnoga,42
351,Natan,Halama,4,Rower,30
352,Liwia,Ciastek,4,Pieszo,3
353,Olaf,Sprawka,1,Samochód,23
354,Piotr,Bortkiewicz,1,Skuter,43
355,Mikołaj,Mierzwiak,3,Rower,4
356,Damian,Kleban,3,Samochód,12
357,Marianna,Szczot,3,Pieszo,33
358,Blanka,Jeżyna,1,Rower,15
359,Dariusz,Wożniak,2,Pieszo,23
360,Arkadiusz,Łabaj,3,Samochód,41
361,Adam,Waloszek,4,Samochód,82
362,Marika,Szulist,3,Skuter,37
363,Apolonia,Bełza,2,Samochód,16
364,Olaf,Stempin,2,Hulajnoga,74
365,Adrian,Sierżant,2,Pieszo,28
366,Damian,Domurad,4,Pieszo,58
367,Lidia,Miecznik,3,Pieszo,23
368,Fryderyk,Gumienny,2,Samochód,90
369,Miłosz,Strojna,2,Rower,69
370,Aleks,Powałka,2,Skuter,12
371,Sylwia,Fedyk,2,Rower,55
372,Józef,Hinca,2,Hulajnoga,79
373,Wojciech,Budzich,4,Rower,84
374,Błażej,Marko,2,Rower,0
375,Borys,Imiołczyk,2,Samochód,54
376,Marcel,Syldatk,2,Samochód,12
377,Michał,Peciak,1,Pieszo,4
378,Kornel,Czupryn,4,Samochód,1
379,Konstanty,Iciek,1,Pieszo,6
380,Oliwier,Cydzik,1,Samochód,28
381,Aleks,Rajczak,3,Hulajnoga,24
382,Albert,Szczepaniec,1,Hulajnoga,70
383,Oliwier,Janczura,1,Skuter,29
384,Ewelina,Bujko,1,Pieszo,43
385,Alan,Roda,3,Pieszo,48
386,Adrian,Jędruszczak,2,Rower,25
387,Bartek,Balcewicz,3,Skuter,3
388,Róża,Ziarnik,1,Samochód,56
389,Bartek,Zachwieja,4,Hulajnoga,48
390,Olaf,Wlaźlak,2,Skuter,86
391,Olga,Doktór,2,Rower,86
392,Aleks,Dworniczak,3,Pieszo,15
393,Julian,Daniec,2,Rower,73
394,Nikodem,Buchalik,4,Samochód,70
395,Robert,Cyrek,2,Skuter,77
396,Justyna,Wiertelak,3,Hulajnoga,60
397,Elżbieta,Wałek,4,Samochód,12
398,Bartek,Durma,4,Samochód,5
399,Mateusz,Balik,3,Skuter,55
400,Julianna,Saj,3,Samochód,10
401,Agnieszka,Stypa,3,Rower,74
402,Elżbieta,Łuksza,3,Hulajnoga,17
403,Kalina,Kramer,2,Pieszo,12
404,Piotr,Skiepko,1,Samochód,65
405,Jakub,Podpora,4,Hulajnoga,27
406,Sandra,Więckiewicz,1,Pieszo,51
407,Natasza,Ciesielczyk,1,Pieszo,1
408,Andrzej,Keler,3,Rower,38
409,Julian,Czupryn,3,Samochód,24
410,Robert,Cichowlas,1,Rower,64
411,Krystyna,Saczuk,3,Samochód,19
412,Robert,Peciak,1,Hulajnoga,16
413,Dorota,Swiątek,4,Samochód,8
414,Ida,Tylus,2,Rower,31
415,Olgierd,Gołota,3,Hulajnoga,70
416,Rozalia,Feluś,1,Samochód,87
417,Filip,Wiciak,1,Pieszo,63
418,Bianka,Klinger,1,Skuter,87
419,Jeremi,Grabas,2,Rower,83
420,Monika,Zybura,1,Rower,61
421,Sonia,Kołaczek,4,Pieszo,24
422,Janina,Kawala,3,Hulajnoga,69
423,Marcelina,Odrzywołek,4,Rower,9
424,Jeremi,Kaczmarkiewicz,2,Hulajnoga,77
425,Mieszko,Siemieniec,4,Pieszo,85
426,Ernest,Karłowicz,1,Hulajnoga,29
427,Artur,Rozynek,4,Rower,29
428,Justyna,Karyś,2,Skuter,32
429,Adrian,Cimoch,1,Samochód,60
430,Jakub,Pyrz,4,Pieszo,73
431,Dorota,Gaś,3,Rower,79
432,Dagmara,Omiotek,3,Pieszo,74
433,Jacek,Ferdyn,4,Pieszo,23
434,Jan,Domińczak,1,Hulajnoga,4
435,Piotr,Glonek,2,Rower,0
436,Tadeusz,Dub,1,Pieszo,70
437,Marcel,Niebudek,1,Rower,12
438,Adrianna,Zinkiewicz,4,Samochód,75
439,Eryk,Solich,2,Hulajnoga,75
440,Ewelina,Mroczko,3,Hulajnoga,69
441,Roksana,Bałdys,2,Pieszo,36
442,Jędrzej,Grzeszkowiak,4,Samochód,58
443,Tola,Gogola,3,Rower,84
444,Dorota,Pachnik,1,Pieszo,15
445,Ewelina,Żółkiewicz,3,Rower,86
446,Dorota,Kajak,3,Rower,77
447,Błażej,Kielich,1,Pieszo,34
448,Kazimierz,Wasil,4,Pieszo,3
449,Maks,Larysz,2,Samochód,61
450,Kamila,Krzeszowiec,3,Hulajnoga,50
451,Krzysztof,Kulus,4,Skuter,71
452,Marek,Kałek,4,Skuter,48
453,Oskar,Kolarz,4,Rower,54
454,Maks,Rabiej,4,Skuter,73
455,Anastazja,Sinkiewicz,4,Pieszo,28
456,Sebastian,Lewko,1,Samochód,49
457,Tomasz,Kordus,3,Pieszo,21
458,Patryk,Wyroba,3,Pieszo,37
459,Julianna,Pęciak,1,Skuter,85
460,Eliza,Faltyn,3,Skuter,30
461,Antoni,Sumera,4,Rower,80
462,Fabian,Ciepła,1,Rower,35
463,Leon,Dadej,3,Hulajnoga,30
464,Borys,Sośniak,1,Skuter,47
465,Róża,Wisz,1,Skuter,83
466,Liwia,Kacperczyk,4,Hulajnoga,11
467,Dagmara,Krysik,4,Hulajnoga,48
468,Sylwia,Taczała,3,Rower,80
469,Stanisław,Grygorowicz,4,Pieszo,84
470,Justyna,Przekop,2,Skuter,43
471,Jacek,Milewczyk,2,Pieszo,41
472,Urszula,Heba,4,Pieszo,88
473,Karina,Krajniak,3,Rower,3
474,Marcel,Furga,1,Samochód,74
475,Klara,Stawinoga,4,Pieszo,47
476,Sonia,Podleśna,4,Rower,1
477,Nela,Gmurczyk,1,Pieszo,13
478,Anastazja,Cherek,2,Hulajnoga,45
479,Maurycy,Wnuczek,1,Samochód,15
480,Norbert,Ziegler,3,Rower,45
481,Borys,Cukier,1,Skuter,88
482,Alan,Dziadowicz,4,Samochód,3
483,Urszula,Minkiewicz,2,Hulajnoga,2
484,Miłosz,Behrendt,3,Skuter,60
485,Karina,Krzywonos,3,Hulajnoga,85
486,Gabriel,Sip,3,Skuter,76
487,Janina,Porwoł,4,Skuter,40
488,Marika,Cymbała,2,Skuter,72
489,Sonia,Hadaś,1,Samochód,71
490,Andrzej,Kluczyk,1,Rower,56
491,Melania,Hajdasz,1,Rower,14
492,Mariusz,Kielczyk,4,Pieszo,64
493,Konrad,Bejnarowicz,1,Samochód,75
494,Aleksander,Mojsa,4,Rower,48
495,Dariusz,Nicewicz,1,Skuter,62
496,Mikołaj,Meissner,1,Skuter,21
497,Grzegorz,Stefanik,4,Skuter,1
498,Ernest,Zbylut,3,Samochód,55
499,Julita,Szyja,4,Samochód,40
500,Dagmara,Grygorcewicz,4,Rower,76
501,Julita,Szumny,4,Hulajnoga,22
502,Emil,Flisek,2,Pieszo,45
503,Bruno,Matraszek,1,Pieszo,66
504,Ignacy,Mędrala,4,Skuter,7
505,Natan,Koćwin,2,Hulajnoga,2
506,Artur,Mikusek,3,Rower,43
507,Eliza,Ostasz,1,Hulajnoga,69
508,Krystyna,Szyndler,3,Skuter,88
509,Radosław,Makar,2,Pieszo,78
510,Gaja,Kwapisiewicz,1,Hulajnoga,56
511,Apolonia,Tereszkiewicz,3,Samochód,38
512,Mikołaj,Duży,2,Rower,49
513,Oliwier,Podkowa,2,Pieszo,67
514,Alex,Kulis,2,Hulajnoga,40
515,Igor,Kabala,3,Pieszo,78
516,Krystian,Reimann,4,Rower,29
517,Sara,Swatek,3,Samochód,74
518,Krystian,Durys,2,Hulajnoga,60
519,Marika,Skiepko,3,Skuter,21
520,Albert,Bok,2,Rower,14
521,Tadeusz,Gorol,4,Samochód,35
522,Leon,Gołoś,2,Hulajnoga,31
523,Konstanty,Śledzik,4,Rower,67
524,Dominik,Wawrzyczek,2,Skuter,17
525,Urszula,Snoch,4,Hulajnoga,83
526,Gaja,Bartkowicz,1,Samochód,61
527,Stefan,Saternus,1,Rower,77
528,Melania,Chmielak,1,Rower,73
529,Radosław,Pośnik,4,Samochód,42
530,Klara,Szyndler,4,Skuter,84
531,Ernest,Otremba,3,Rower,21
532,Stefan,Gmurczyk,1,Rower,56
533,Dariusz,Klupś,1,Samochód,18
534,Marcel,Kłoczko,3,Hulajnoga,89
535,Anita,Karalus,1,Hulajnoga,49
536,Marcelina,Kaziród,1,Rower,42
537,Tymoteusz,Łapacz,3,Rower,7
538,Szymon,Świętoń,3,Samochód,89
539,Eryk,Majak,2,Samochód,2
540,Łukasz,Kiełek,1,Hulajnoga,34
541,Kajetan,Trzmiel,1,Samochód,55
542,Dagmara,Szambelan,1,Hulajnoga,39
543,Jakub,Sado,3,Skuter,30
544,Nicole,Pedrycz,1,Samochód,51
545,Patryk,Hajda,3,Pieszo,48
546,Dariusz,Majewicz,2,Pieszo,7
547,Cyprian,Czupryn,4,Rower,33
548,Olga,Brzykcy,3,Rower,90
549,Nicole,Hutnik,4,Rower,75
550,Arkadiusz,Proć,4,Samochód,56
551,Tobiasz,Bazyluk,3,Rower,30
552,Dawid,Karwot,2,Hulajnoga,14
553,Marcel,Podgórny,3,Pieszo,31
554,Kacper,Kasznia,2,Pieszo,54
555,Konrad,Gorgol,4,Pieszo,85
556,Aleks,Siedlaczek,1,Pieszo,8
557,Dominik,Parzonka,2,Hulajnoga,23
558,Kajetan,Oziębło,2,Skuter,63
559,Bianka,Bobik,1,Skuter,43
560,Jeremi,Fogiel,4,Pieszo,4
561,Wojciech,Dulas,2,Pieszo,90
562,Artur,Obiała,4,Rower,31
563,Bartek,Bubel,2,Samochód,30
564,Hubert,Witko,1,Hulajnoga,10
565,Cezary,Lepa,2,Pieszo,7
566,Marianna,Kozon,1,Skuter,6
567,Maurycy,Korzonek,2,Hulajnoga,28
568,Artur,Podsiedlik,3,Rower,45
569,Franciszek,Winnik,3,Rower,42
570,Damian,Kidoń,1,Hulajnoga,30
571,Elżbieta,Husak,3,Skuter,34
572,Fryderyk,Szczepan,4,Samochód,29
573,Stefan,Wawak,4,Rower,76
574,Julita,Naglik,3,Rower,53
575,Aleks,Loba,1,Skuter,1
576,Gabriel,Szmurło,1,Pieszo,51
577,Nikodem,Berus,1,Skuter,52
578,Rozalia,Kosman,3,Rower,66
579,Błażej,Rychel,1,Samochód,28
580,Arkadiusz,Jarmuż,4,Pieszo,6
581,Iwo,Moryc,1,Skuter,50
582,Borys,Bicz,3,Hulajnoga,16
583,Kaja,Garncarz,1,Hulajnoga,46
584,Kamila,Pronobis,1,Rower,76
585,Franciszek,Malon,4,Pieszo,41
586,Urszula,Drzał,4,Hulajnoga,55
587,Oskar,Matula,4,Skuter,53
588,Oskar,Marchlewicz,3,Hulajnoga,51
589,Marianna,Procek,3,Skuter,81
590,Jerzy,Behrendt,3,Samochód,61
591,Melania,Fabiszak,2,Hulajnoga,57
592,Tobiasz,Apostel,1,Skuter,75
593,Dariusz,Baszak,2,Skuter,22
594,Patryk,Jargiło,4,Pieszo,58
595,Bianka,Tymczyszyn,4,Skuter,86
596,Leonard,Kunda,3,Samochód,11
597,Radosław,Welc,1,Hulajnoga,53
598,Marika,Kosowicz,4,Skuter,36
599,Oskar,Kobak,3,Rower,29
600,Sara,Mućka,2,Rower,10
601,Daniel,Kolarczyk,1,Skuter,81
602,Malwina,Morka,4,Samochód,34
603,Wojciech,Kastelik,3,Pieszo,44
604,Kacper,Monkiewicz,2,Hulajnoga,32
605,Bartek,Miozga,4,Samochód,8
606,Dorota,Ryfa,4,Hulajnoga,14
607,Olgierd,Korzonek,2,Skuter,38
608,Hubert,Dziugieł,1,Samochód,83
609,Marcel,Kuczak,2,Hulajnoga,86
610,Norbert,Latko,4,Skuter,28
611,Kornelia,Borzych,3,Pieszo,25
612,Klara,Jaśko,4,Rower,5
613,Ada,Pietryga,2,Samochód,3
614,Igor,Lizoń,3,Samochód,47
615,Dagmara,Dawiec,2,Samochód,78
616,Mateusz,Gosik,4,Pieszo,18
617,Wojciech,Kołpak,2,Samochód,5
618,Dominik,Dymarczyk,4,Hulajnoga,29
619,Maurycy,Malcher,2,Samochód,68
